幅值,均值
1.955528,130.896398
40.180036,100.173757
92.225393,111.716935
18.190936,143.393386
1.026327,120.872544
34.292774,97.585453
13.34853,139.78488
93.83411,112.476426
40.665227,102.094535
2.258038,73.579587
0.936688,72.199033
0.58532,67.455126
5.274389,69.468161
94.29488,112.524001
94.704307,112.676156
0.443711,66.607936
4.761477,67.638408
0.963222,69.762957
27.538462,84.166965
4.868281,73.580182
12.534962,73.136002
34.859311,83.962036
1.388012,81.157659
2.577375,83.58521
0.077095,77.22963
15.033988,79.916408
8.58914,74.538076
9.184819,74.451754
35.460854,84.145463
4.817894,85.178126
2.329498,75.759593
4.021267,74.583344
1.42162,73.402579
13.246208,76.39052
1.026378,72.007015
6.247444,71.897335
6.63409,72.737194
1.057265,78.520506
3.614473,75.227525
1.208953,70.752924
4.277396,74.324918
7.111326,76.118653
10.409945,74.811249
14.454183,76.0577
34.934963,85.649807
5.178903,71.31388
1.06763,73.401864
9.631315,72.643181
2.573991,68.60793
6.522972,86.141735
3.471924,73.197209
5.014643,69.844847
1.369399,72.887687
0.928213,70.33606
1.403825,69.0547
7.226923,70.889627
1.254864,70.02712
0.049317,69.661378
4.372168,68.739639
2.82297,67.869045
41.309916,86.857184
2.627729,67.457868
2.897668,69.38909
0.17146,66.820157
0.464792,68.942375
3.648939,71.445976
6.308127,70.212348
8.014982,70.558599
9.007513,70.669094
2.822478,71.729855
12.06637,75.019348
3.460626,68.446614
3.119181,69.867509
14.771966,73.957875
1.421464,68.175614
7.835857,75.318095
24.405879,78.38687
47.963158,89.678771
0.644584,72.061094
1.808329,69.400199
4.596813,70.509315
8.443168,72.317871
1.168918,67.001682
0.818178,66.789468
4.441256,68.190604
1.918825,69.137429
4.723266,69.443327
0.704282,68.130409
6.17848,68.725695
1.68389,68.71593
2.892933,69.018077
1.593975,68.111965
15.705258,75.061681
0.345004,88.819886
1.457043,88.287121
0.502006,73.059032
0.824737,69.562686
1.592729,68.499733
2.1037,68.436879
3.523496,69.097735
0.455261,66.915878
1.655914,71.410055
0.569473,70.784823
3.849588,69.304463
18.875471,75.994413
0.548402,70.384104
1.122916,88.482816
1.517921,78.154465
2.368114,70.242519
24.214487,77.877739
0.145629,65.917056
2.886594,71.094845
4.921149,70.634493
1.115374,72.087092
2.909942,72.741143
1.750254,74.804351
9.455143,71.92707
0.734138,69.853324
9.907157,72.126215
0.662039,68.80161
0.715808,71.027271
0.29132,71.426612
2.438666,69.224452
6.7035,69.412222
0.06624,71.158329
6.705909,69.808837
12.972446,72.339929
14.291805,72.949032
0.242281,72.429645
0.929002,72.562506
4.024961,73.551503
10.360926,74.360956
1.659572,68.474276
5.067979,69.955166
14.974962,73.796447
24.709501,78.097414
57.031091,94.04696
1.178443,72.185833
1.930243,71.822366
6.980698,71.951797
11.499824,72.091628
2.180944,68.020563
3.248456,70.231996
8.801718,70.759478
1.206473,68.367847
3.72845,68.957902
3.996031,68.760899
10.888827,71.731089
1.536754,67.649312
2.986326,67.87539
6.525576,69.449995
7.713818,70.317409
0.218285,71.448583
0.46428,67.991847
3.253715,68.868278
2.066759,68.647922
3.219464,68.773087
5.796479,69.236145
9.223665,70.584109
2.322036,70.166334
1.484776,67.828651
1.892716,70.120017
2.816745,69.9674
5.619804,69.362264
0.39465,70.060631
0.224407,72.181696
5.735072,73.819629
8.4636,73.581059
5.764576,70.693314
12.339097,71.990631
4.180359,68.249708
0.763118,70.217509
6.230022,70.988849
0.396662,71.457984
0.601524,69.879953
2.397312,70.647904
3.306433,71.502937
0.81859,72.997749
6.377781,70.67868
0.097359,69.5045
6.982803,70.670157
1.405564,67.182393
3.400347,70.246059
1.096647,79.386604
1.024914,69.292819
5.204994,69.821723
3.922821,69.592914
5.380659,70.007297
1.882063,76.142912
13.958225,73.181224
2.554841,79.048808
0.134199,69.17432
0.449184,70.298893
2.706095,71.547311
0.292026,72.827786
0.336844,74.724527
0.176726,74.896455
11.970403,74.949531
27.126451,79.75857
3.082684,78.735151
3.427829,78.731912
39.96603,85.536906
57.805293,94.389007
3.816206,125.990258
0.769406,74.99435
1.488185,76.109322
0.437683,77.839553
1.04901,76.193733
2.17427,76.294392
11.451826,77.161393
3.346303,69.698175
1.762072,66.458614
0.74211,73.027699
0.852766,74.381966
1.065078,73.697415
2.915954,73.518071
8.732256,70.987487
1.410146,85.224757
5.034229,70.9584
4.116805,70.036441
2.654027,70.007748
4.503696,69.176977
3.105565,73.419721
21.062091,77.335104
2.54761,72.540987
5.086463,73.013723
9.031669,74.340055
1.602419,70.347697
6.305155,72.307856
17.344722,77.711361
1.338845,69.282457
0.464934,68.438185
2.088535,68.330942
4.653611,69.335689
9.576632,70.913566
0.090584,69.144753
4.728853,69.912146
0.376767,68.917942
4.826238,69.474589
1.705246,68.162268
7.698701,70.511666
1.991043,70.283724
1.954958,69.214404
1.681782,67.620416
10.129854,71.461884
0.079083,70.991028
3.213176,72.390663
21.416359,77.048402
23.094815,77.65539
4.555137,70.666656
9.407723,71.439955
1.715093,67.187954
1.907817,105.639722
3.066359,98.200684
3.022147,70.776827
0.269778,76.953025
0.304344,73.017826
8.338067,73.185231
41.188226,86.651933
3.563703,69.430886
2.069714,71.107906
0.596465,76.708634
1.891484,79.097643
0.019609,79.942099
15.059246,73.439421
47.038097,89.142397
63.131197,96.848537
0.135971,130.489506
1.016237,79.289186
7.733793,80.220364
5.496265,71.283712
7.547924,71.840756
1.379737,68.894328
5.027304,69.785188
1.824122,69.382217
4.961834,71.530436
3.192753,70.395499
8.923339,72.956192
27.150863,79.953148
6.521311,69.519368
5.236928,68.083674
7.092169,68.848379
5.028568,67.87583
0.171855,65.389295
6.242078,68.395744
0.563412,65.969101
2.251357,66.639803
2.697318,66.712692
2.545944,66.560853
4.665184,67.570194
0.153245,66.482025
0.094688,65.553362
0.137014,65.556087
0.290395,65.495511
1.729573,66.098385
75.356325,102.848447
3.756845,71.464198
4.620446,68.155276
13.945758,72.62165
0.321816,67.37627
1.32505,66.955054
10.285498,70.450409
4.413508,76.417412
2.071288,72.372313
1.655461,69.68233
3.68034,69.596399
11.031535,73.2106
14.365283,72.428194
1.880899,91.406511
3.480959,76.091407
6.230081,71.656627
9.876748,72.735499
1.085301,67.487057
0.442538,73.923786
26.181828,79.800419
41.47804,112.248322
2.334342,77.431797
2.019555,70.948459
0.91443,79.589871
6.365054,77.202385
2.685069,80.565071
3.928546,112.695944
2.35044,80.178813
49.263047,95.560141
0.366009,120.025206
0.306623,79.27636
3.177462,77.229743
3.485342,76.033324
23.506399,81.857772
51.379845,95.114633
6.206122,99.87926
54.143195,96.151129
48.074139,101.370669
0.630752,77.983795
2.207916,89.714353
3.904952,79.022152
17.113217,83.890958
0.726945,73.974754
15.544803,77.419633
2.91844,69.496043
59.757829,96.851635
2.117103,67.756594
8.828287,72.616592
9.485218,74.234099
12.249332,73.555137
13.486825,80.678578
16.568362,77.390656
20.309329,78.861057
22.089791,78.388358
2.527415,74.595524
18.88443,81.047147
12.708819,74.776627
8.398865,84.40876
11.872137,85.598844
41.665725,88.308347
7.357468,83.179122
2.346104,101.997858
2.976499,81.662581
34.399804,91.364995
43.720184,94.43519
7.094288,87.095156
17.458335,90.702508
0.294751,109.198787
29.52898,95.782017
0.559609,102.485344
10.240469,87.005237
14.499494,87.087992
11.617738,87.348741
29.541065,91.425394
14.538815,97.442175
39.755332,92.976128
5.76569,85.496139
2.37762,76.530678
44.334224,95.652393
62.776203,102.301601
1.358618,82.77313
3.195636,82.824137
67.877864,107.128683
81.857835,107.57918
1.761004,79.20336
1.445626,82.178983
0.010768,108.675841
0.812228,79.978633
3.559461,81.350783
36.279575,95.402399
2.443711,81.319437
61.587648,100.913836
2.916769,71.059087
3.648094,77.433905
1.396602,86.084154
21.231522,78.50743
2.703985,71.553464
4.838489,73.215032
0.179019,75.997646
6.7269,74.425159
1.683248,76.905285
7.514788,74.333904
12.331281,73.902078
3.140207,75.92193
0.200843,78.445153
1.570477,78.763589
12.421103,75.066442
2.194446,77.24405
9.839445,79.650384
26.29695,88.16865
2.806151,85.268577
0.32392,76.072315
3.440751,77.385883
1.020793,74.033088
10.85064,78.654514
2.348962,80.24454
12.947379,85.351415
55.857816,96.002286
5.375575,83.403848
2.270555,76.221639
4.137709,76.094593
4.203253,73.57407
2.90935,72.97488
13.231409,77.561488
3.266492,77.269231
13.706109,82.248483
12.875129,80.397049
1.978426,71.054478
0.77482,71.519679
3.623516,70.550219
44.038141,90.589022
56.841439,95.692828
12.666366,143.848786
84.906344,107.896229
5.535364,127.58186
39.646796,100.393274
5.416039,140.151675
88.551932,109.834777
6.394106,119.19893
27.001565,93.706126
20.125775,146.299768
93.692015,112.41478
1.156721,80.917152
0.321423,86.936013
38.106229,99.252848
4.780249,122.695707
34.927708,96.069648
16.052761,79.263761
84.441747,109.364816
0.935491,144.706125
0.683122,120.261374
1.061806,79.460482
26.867883,91.797048
90.19289,110.692337
17.386257,141.369702
1.517473,123.414061
1.088865,80.670536
23.775088,90.861078
9.455449,143.388234
91.71562,111.406571
94.756479,112.922302
5.92444,118.543243
0.626222,80.673738
0.235541,82.056249
22.087275,89.837924
6.298554,144.201988
5.43392,122.405913
40.151273,98.219991
27.109502,84.886162
62.292515,102.102219
20.216053,89.845814
40.596173,87.992046
89.640118,112.324193
7.392384,129.549176
3.949466,125.792115
0.349101,121.652564
1.907764,118.546754
0.480739,81.642744
0.467868,75.385743
1.488902,76.273447
0.032389,127.757798
3.397541,117.231955
2.621906,114.114573
1.871008,112.523287
3.720039,110.992746
2.12362,76.34145
0.634379,75.126938
57.439627,103.47537
3.814557,122.075894
0.265038,114.267195
1.556048,111.908015
2.272744,112.157447
1.778422,108.829724
1.879204,79.429022
0.348557,75.46781
0.148427,75.087137
62.674297,105.608918
0.675599,74.141447
2.887709,120.532397
2.488077,117.87418
0.406239,115.236893
0.126264,110.385396
0.309055,109.311922
0.158955,75.293681
52.431029,99.882026
71.955121,109.455682
2.424883,117.747408
3.273723,116.415314
3.766863,110.998713
1.388174,108.813327
0.890193,74.350069
55.598667,101.263855
0.051847,73.482729
0.674094,117.641286
4.494985,119.236868
3.537932,113.908607
3.588197,111.618413
1.058338,77.161231
0.690084,74.883023
0.366597,74.04214
55.35066,101.093846
0.61806,74.669244
5.584116,120.175031
2.75813,116.885091
2.304662,112.851721
0.113022,112.832781
3.636202,112.597593
0.949326,76.686718
0.056517,74.164838
0.38478,74.340004
55.667875,101.336233
6.758457,121.096893
3.734714,117.601965
3.536236,116.038882
4.135779,112.277544
20.830718,118.819111
84.123373,115.458275
94.902349,113.041621
95.569375,112.874534
8.365779,144.019832
0.481946,122.060098
23.752638,92.220075
13.069128,135.983222
4.848653,123.982241
2.514135,103.41259
25.199401,93.234038
1.40451,119.968604
26.96579,93.985243
85.081613,108.147921
87.864876,109.493603
8.794571,141.531637
0.786651,115.051871
24.404698,92.941837
46.182268,96.353726
8.199783,77.090831
4.087929,78.831805
17.749946,78.653661
4.566833,71.780564
87.898002,109.509233
0.335469,68.242533
1.546651,67.806404
2.291862,67.853532
16.767767,91.457985
32.810695,84.663889
4.470253,74.671944
3.91224,69.369777
51.270441,92.892614
3.097424,84.035537
30.879143,83.505823
19.91803,90.424861
53.266955,94.469102
6.184885,77.992718
45.110114,92.558615
16.430722,93.619466
31.452692,92.304877
0.761774,84.8381
29.382807,87.650019
44.320097,92.375633
47.529396,92.834632
27.260673,94.462982
27.797571,88.620902
29.426757,86.522618
58.08703,98.371788
60.198403,98.522247
70.910643,103.648413
91.222486,111.042834
95.659221,112.829611
